Site,Season,Year,WD,Date,Water Temp.,Conductivity,TDS,Salinity,pH,Turbidity,DO,BOD,Nitrite,Nitrate,Ammonium,DIN,TN,phosphate,TP,Total Quality,Catchment.x,HESY2,MI_QUALITY,IPS,Index Value,Diat_QUALITY,HEFI,FISH_QUALITY,Lat,Lon,Elevation,Dist. To Source (m),Slope (%),Mean Jan Temp,Int. Type R-M,Catch. Area At Site (Km²),Near tural (%),Artificial (%),Agriculture (%)
AGRILIAS,SPRING,2020,Δυτ. Στερεά Ελλάδα (04),16/05/2020,25.11,468,233,0.22,8.49,2.98,,,0,0.013,0.011,0.024,0.099,0.001,0.005,HIGH,,,,,,,,,38.42163056,21.45882968,147,5418.69,2.28,7.9,RM5,16.34,85.26,0,14.74
ERKY,SUMMER,2020,Ανατόλ. Στερεά Ελλάδα (07),26/08/2020,19.15,465,233,0.22,7.7,3.38,61.3,5.1,0.126,1.054,1.148,2.328,2.544,0.145,0.162,MODERATE,Kifisos Viot.,0.44,POOR,8.7,0.54375,MODERATE,0.3,POOR,38.46027098,22.93156164,107,14234.65,0.23,7.4,RM1,88.22,0,25.57,74.43
PAMISOS,SUMMER,2020,Θεσσαλία (08),9/7/2020,21.1,464.3,232,0.22,7.22,16.9,70.43,2.5,0.01,2.21,0.026,2.246,2.4,0.025,0.03,GOOD,,,,,,,0.41,MODERATE,39.47621275,21.81038153,101,20866,0.06,4.7,RM4,221.79,29.98,2.76,64.08
KAMINIA,SPRING,2018,Κρήτη (13),30/05/2018,21.7,464,306,0.22,,2.8,107.5,3.6,0.001,0.461,0.013,0.474,0.513,0.068,0.069,HIGH,,,,,,,,,35.31662457,24.37255055,124,17902.98,1.26,11,RM1,73.23,22.62,0,77.38
ARAP_DW,SUMMER,2021,Δυτ. Μακεδονία (09),30/08/2021,17.19,464,232.33,0.22,7.2,7.13,101.86,5.6,0.01,2.3,0.035,2.345,2.424,0.149,0.167,MODERATE,,0.67,MODERATE,11.8,0.72392638,MODERATE,0.67,GOOD,40.659928,22.134234,55,31410.3,0.33,4.2,RM2,165.27,74.63,1.41,23.96
EVZONI,SUMMER,2019,Κεντρ. Μακεδονία (10),25/07/2019,24.71,463.6,231.6,0.22,8.32,52.7,96.3,3.6,0.015,2.355,0.013,2.383,2.508,0.185,0.192,MODERATE,Axios,,GOOD,11,,MODERATE,0.48,MODERATE,41.1078152,22.53639423,41,306650.52,0.03,3.4,VERY_LARGE,21862.84,31.43,3.33,62.12
EXAPLATANOS,SUMMER,2021,Δυτ. Μακεδονία (09),29/08/2021,18.28,463,232.33,0.22,7.28,5.89,89.03,6.2,0.005,3.555,0.014,3.574,3.696,0.008,0.013,GOOD,,0.89,GOOD,15.9,0.975460123,HIGH,0.68,GOOD,40.9789342,22.1205747,115,33174.46,0.29,3.5,RM2,316.16,58.65,1.26,40.09
S15,SUMMER,2021,Ανατόλ. Μακεδονία (11),27/09/2021,19.7,463,232,0.22,8.08,15.6,110.7,3.6,0.009,0.551,0.039,0.599,0.828,0.115,0.141,GOOD,,,POOR,10.5,,MODERATE,0.29,POOR,40.912552,23.79774,3,376823.45,0.01,4.2,VERY_LARGE,12410.47,45.9,1.97,45.48
ARTA,SUMMER,2021,Ήπειρος (05),10/7/2021,21.05,463,231,0.22,8.45,4.4,123.9,4.8,0.001,0.062,0.025,0.088,0.521,0.003,0.007,HIGH,,0.44,POOR,17.5,,HIGH,0.34,POOR,39.165325,20.99377222,23,114455.11,0.07,8.2,RM3,1817.59,69.45,1.47,21.16
AGRILIAS,SPRING,2019,Δυτ. Στερεά Ελλάδα (04),17/04/2019,13.73,461,230,0.22,8.52,1.52,128.2,0,0.001,0.009,0.022,0.032,0.065,0.001,0.004,HIGH,Agrilias,1,HIGH,17.6,,HIGH,0.9,HIGH,38.42163056,21.45882968,147,5418.69,2.28,7.9,RM5,16.34,85.26,0,14.74
MAN,SUMMER,2021,Βόρ. Πελοπόννησος (02),7/7/2021,25.97,461,230,0.22,7.69,18.5,66.8,3.6,0.06,2.63,0.167,2.857,3.144,0.199,0.223,POOR,,0.67,MODERATE,7.6,0.475,POOR,0.04,BAD,38.125554,21.419929,3,19499.71,0.03,9.3,RM1,31.5,,,
LAPSISTA,SUMMER,2020,Ήπειρος (05),8/7/2020,23.21,461,230,0.22,7.34,21.2,36.8,7.6,0.007,0.093,0.147,0.247,0.525,0.051,0.07,GOOD,Kalamas,,,,,,,,39.694556,20.835106,466,20014.34,0.03,4.8,RM2,404.45,30.43,0.65,68.92
VOURAIKOS,SPRING,2021,Βόρ. Πελοπόννησος (02),17/04/2021,12.38,460,230,0.22,8.49,9.33,96.5,,0.011,0.569,0.045,0.625,0.768,0.077,0.089,GOOD,,0.5,MODERATE,15.9,0.943620178,HIGH,1,HIGH,38.16973396,22.18341207,73,38966.99,0.18,6.9,RM4,233.96,49.65,0,50.35
PETHELINO,SUMMER,2019,Ανατόλ. Μακεδονία (11),14/09/2019,23.57,460,230,0.22,8.23,31.9,,19.9,0.041,0.579,0.127,0.747,1.332,0.234,0.254,MODERATE,Strymos,,MODERATE,7.5,,POOR,0.28,POOR,40.942397,23.693368,4,366915.16,0.01,4,VERY_LARGE,14016.31,47.15,2.19,45.86
TIMIOS,SUMMER,2020,Δυτ. Πελοπόννησος (01),1/7/2020,15.6,460,230,0.22,8.2,10,85.9,4.5,0.008,1.062,0.026,1.096,1.212,0.013,0.019,GOOD,Alfeios,1,HIGH,11.8,0.700296736,MODERATE,0.81,HIGH,37.825124,22.12445,449,13009.68,0.15,5.1,RM4,290.92,76.42,0.21,23.38
VARVA,SPRING,2021,Ανατόλ. Μακεδονία (11),28/05/2021,20.74,459,230,0.22,8.18,5.9,95.4,,0,0.011,0.016,0.027,0.124,0.008,0.016,HIGH,,0.78,GOOD,14.3,0.89375,GOOD,,,40.740117,23.700024,61,9649.83,2.4,4.9,RM1,20.35,,,
KALAVRITA,WINTER,2019,Βόρ. Πελοπόννησος (02),19/02/2019,7.42,459,230,0.22,8.06,,74.4,3.6,0.008,0.902,0.213,1.123,1.429,0.121,0.143,MODERATE,,,,,,,,,38.04441678,22.12533243,693,21886.28,0.28,4.2,RM2,137.99,24.38,0,75.62
NISELI,WINTER,2021,Δυτ. Μακεδονία (09),27/02/2021,10.4,459,230,0.22,7.94,21.2,107.1,,0.014,0.776,0.106,0.896,1.008,0.034,0.044,GOOD,,,,,,,,,40.584281,22.460926,8,107436.78,0.02,4.2,VERY_LARGE,11043.19,46.46,2.1,46.04
K_AXAIA,WINTER,2020,Βόρ. Πελοπόννησος (02),9/2/2020,10.24,459,230,0.22,7.34,2.02,97.03,0,0.009,1.421,0.029,1.459,1.548,0.028,0.036,GOOD,,,,,,,,,38.14853972,21.56919421,1,43129.59,0.44,9.1,RM2,535.06,40.73,3.68,55.3
PETHELINO,WINTER,2020,Ανατόλ. Μακεδονία (11),4/2/2020,9.55,459,229,0.22,8.2,5.18,91.8,0.6,0.013,0.597,0.181,0.791,0.972,0.075,0.087,GOOD,,,,,,,,,40.942397,23.693368,4,366915.16,0.01,4,VERY_LARGE,14016.31,47.15,2.19,45.86
TSIVLOS,SUMMER,2021,Βόρ. Πελοπόννησος (02),21/06/2021,17.67,458,229,0.22,7.97,9.23,82.8,1.4,0,0.008,0.021,0.029,0.08,0.001,0.006,HIGH,,1,HIGH,16.2,1.0125,HIGH,0.14,BAD,38.06917608,22.2392163,713,15457.47,1.51,3.8,RM1,81.74,83.9,0,14.91
DRAMA,SUMMER,2020,Ανατόλ. Μακεδονία (11),4/9/2020,16.46,458,229,0.22,7.48,3.27,89.07,6.7,0.027,1.723,0.332,2.082,2.232,0.058,0.065,GOOD,Strymos,0.44,POOR,12.3,0.754601227,GOOD,0.9,HIGH,41.14087,24.14227,90,25994.75,0.25,4.2,RM2,117.31,,,
TITAR_MD,WINTER,2021,Θεσσαλία (08),1/3/2021,15,457,229,0.22,8.61,2.61,133.4,,0.015,1.915,0.01,1.94,2.052,0.162,0.189,MODERATE,,,,,,,,,39.715889,22.188656,117,68257.75,0.1,5.1,RM5,1565.66,41.99,1.07,54.05
THOK,SPRING,2021,Δυτ. Πελοπόννησος (01),15/04/2021,12.91,457,229,0.22,7.69,4.54,96.9,0,0.006,0.455,0.017,0.478,0.566,0.001,0.007,HIGH,,0.67,MODERATE,18.6,1.141104294,HIGH,0.4,POOR,37.41756452,22.08756002,361,45475.68,0.02,6.5,RM2,234.13,68.43,4.55,27.02
DRAMA,SUMMER,2021,Ανατόλ. Μακεδονία (11),4/9/2021,15.86,457,228,0.22,,2.44,96,0.6,0.047,1.833,0.556,2.436,2.76,0.085,0.101,MODERATE,,0.44,POOR,7.1,0.435582822,POOR,0.84,HIGH,41.14087,24.14227,90,25994.75,0.25,4.2,RM2,117.31,,,
ERYTHRO_DW,SPRING,2021,Θράκη (12),14/05/2021,21.03,456,228,0.22,8.04,2.97,99.9,1.7,0.007,0.467,0.04,0.514,0.601,0.009,0.015,GOOD,,0.67,MODERATE,11.5,,MODERATE,,,41.344745,26.494029,20,121338.53,0.03,3.2,RM3,1611.98,,,
LOUT_UP,WINTER,2021,Δυτ. Μακεδονία (09),26/02/2021,12.46,456,228,0.22,7.96,13.6,108.5,,0.011,1.309,0.053,1.373,1.464,0.027,0.036,GOOD,,,,,,,,,40.631329,22.217128,21,79278.45,0.02,4.2,RM3,4058.51,40.71,4.27,52.25
ZEVGO,SUMMER,2021,Ανατόλ. Μακεδονία (11),28/09/2021,21,456,228,0.22,7.7,5.76,85.4,2.2,0.027,0.523,0.062,0.612,0.804,0.099,0.118,GOOD,,,BAD,9.6,,MODERATE,0.46,MODERATE,41.09019,23.29307,25,325359.26,0.03,3.4,VERY_LARGE,11949.14,,,
METSOVO,SUMMER,2019,Ήπειρος (05),3/9/2019,15.61,455,241,0.22,8.35,8,43.1,2.5,0.009,0.911,0.024,0.944,1.068,0.257,0.263,MODERATE,Arachthos,1.11,HIGH,13,0.8125,GOOD,,,39.76331667,21.18476389,925,4995.07,1.7,0.7,RM1,25.71,40.73,2.55,56.72
LYKOFOS,SUMMER,2019,Θράκη (12),9/9/2019,23.13,455,228,0.22,8.1,17.2,90,0.8,0.006,0.884,0.016,0.906,1.068,0.213,0.215,GOOD,Evros,,MODERATE,9.4,,MODERATE,0.25,POOR,41.111523,26.3034528,14,425873.62,0.04,4.7,VERY_LARGE,39263.94,47.05,4.23,48.72
DRAMA,SPRING,2019,Ανατόλ. Μακεδονία (11),22/05/2019,15.99,455,227,0.22,7.66,2.6,101.2,3.9,0.018,1.642,0.138,1.798,1.848,0.039,0.039,GOOD,Strymos,0.67,MODERATE,,,,,,41.14087,24.14227,90,25994.75,0.25,4.2,RM2,117.31,,,
PELOPION,SPRING,2021,Δυτ. Πελοπόννησος (01),17/04/2021,15.16,454.33,227.33,0.22,8.03,5.8,98.63,0,0.001,0.529,0.01,0.54,0.641,0.001,0.005,HIGH,,0.56,MODERATE,16.1,,GOOD,,,37.64264931,21.56727647,9,77682.01,0.06,9.1,RM3,3265.08,43.38,1.21,53.51
LOGGIES,SPRING,2019,Δυτ. Στερεά Ελλάδα (04),18/04/2019,13.39,454,227,0.22,8.01,245,113.13,0,0.002,0.136,0.021,0.159,0.19,0.002,0.006,HIGH,Evinos,1,HIGH,15.5,0.96875,HIGH,0.6,MODERATE,38.341602,21.730612,6,9414.52,0.55,8.9,RM1,12.68,100,0,0
PATRA,WINTER,2021,Βόρ. Πελοπόννησος (02),25/01/2021,11.73,453,227,0.22,8.05,720,84.4,0,0.002,1.228,0.01,1.24,1.296,0.008,0.012,HIGH,,,,,,,,,38.21451126,21.71978856,2,27000.3,0.66,9,RM5,99.59,78.51,0.05,18.22
DRAMA,WINTER,2019,Ανατόλ. Μακεδονία (11),28/02/2019,15.38,453,227,0.22,7.65,4.75,125.7,0,0.005,1.825,0.099,1.929,1.946,0.026,0.031,GOOD,,,,,,,,,41.14087,24.14227,90,25994.75,0.25,4.2,RM2,117.31,,,
PROMAXON,SUMMER,2021,Ανατόλ. Μακεδονία (11),4/9/2021,22.47,453,226,0.22,,5.4,118.5,0,0.011,0.519,0.009,0.539,0.584,0.057,0.078,HIGH,,,POOR,8.3,,POOR,0.74,GOOD,41.313228,23.340335,60,281216.54,0.07,2.4,VERY_LARGE,11089.54,33.18,4.14,57.15
MAVROPOTAMO,WINTER,2020,Ήπειρος (05),24/01/2020,11.51,453,226,0.22,8.32,16.2,102.2,0,0.009,0.831,0.054,0.894,0.996,0.003,0.006,GOOD,,,,,,,,,39.23174098,20.50100009,5,61430.85,0.03,9,RM2,791.21,25.14,1.46,72.71
LASPO_UP,SPRING,2021,Θράκη (12),18/05/2021,18.7,453,226,0.22,7.12,5.65,52.8,3.6,0.082,0.3,3.553,3.935,4.476,0.676,0.684,POOR,,0.33,POOR,7.1,0.435582822,POOR,0.25,POOR,40.972236,24.895455,6,25804.76,0.04,5.1,RM2,184.08,,,
DIAKOPTO,SPRING,2021,Βόρ. Πελοπόννησος (02),14/04/2021,13.03,452,226,0.22,8.83,7.14,124.1,0.3,0.013,0.341,0.016,0.37,0.414,0.074,0.086,GOOD,,0.67,MODERATE,13.8,0.846625767,GOOD,0.79,GOOD,38.20312766,22.1890575,0,43241.6,0.69,6.1,RM2,245.26,49.18,0,50.82
P223,WINTER,2020,Θεσσαλία (08),19/02/2020,11,452,226,0.22,8.75,28.2,91.1,3.1,0.043,1.747,0.235,2.025,2.556,0.251,0.258,MODERATE,,,,,,,,,39.591937,22.220357,85,136272.44,0.06,5.5,RM4,6332.98,29.5,2.22,65.33
S15,SPRING,2019,Ανατόλ. Μακεδονία (11),21/05/2019,21.92,451.3,226,0.22,7.9,30.2,79.1,3.9,0.023,0.342,0.101,0.466,0.723,0.144,0.148,GOOD,Strymos,,,,,,,,40.912552,23.79774,3,376823.45,0.01,4.2,VERY_LARGE,12410.47,45.9,1.97,45.48
P388,SPRING,2021,Θεσσαλία (08),9/5/2021,14.83,451,225,0.22,8.55,5.34,98.2,,0.001,0.387,0.021,0.409,0.447,0.003,0.006,HIGH,,0.7,GOOD,16.1,0.955489614,HIGH,0.75,GOOD,39.639246,21.638741,156,54501.98,0.51,4.7,RM4,1066.55,58.27,0.97,36.21
TITAR_DW,WINTER,2021,Θεσσαλία (08),28/02/2021,11.64,450,225,0.22,8.31,2.64,112.3,,0.033,1.407,0.023,1.463,1.644,0.162,0.194,MODERATE,,,,,,,,,39.786852,22.380001,58,91470.89,0.21,5.1,RM3,1883.64,40.32,1.32,55.08
ELKE,SPRING,2019,Ανατόλ. Στερεά Ελλάδα (07),19/04/2019,15.59,450,225,0.22,8.26,31.6,98.7,3.1,0.01,0.38,0.101,0.491,0.552,0.07,0.076,GOOD,Spercheios,,,,,,,,38.81332521,22.49479135,13,84394,0.05,6.5,RM3,1392.61,61.25,0.66,33.71
AG30,SUMMER,2019,Ανατόλ. Μακεδονία (11),11/9/2019,21.54,450,225,0.22,8.12,13.9,,3.1,0.086,1.164,0.058,1.308,1.608,0.09,0.105,MODERATE,Strymos,0.67,GOOD,11.2,,MODERATE,0.16,BAD,41.0315043,24.0468311,50,30829.04,0.05,4.1,RM3,1348.53,45.01,1.98,50.62
ZEVGO,SUMMER,2019,Ανατόλ. Μακεδονία (11),15/09/2019,24.2,450,225,0.22,7.82,6.35,,3.9,0.139,0.661,0.291,1.091,1.488,0.166,0.176,POOR,Strymos,,POOR,5.1,,POOR,,,41.09019,23.29307,25,325359.26,0.03,3.4,VERY_LARGE,11949.14,,,
EVROS_UP,SUMMER,2021,Θράκη (12),21/09/2021,21.55,449,255,0.22,7.88,30,82.9,5.9,0.006,1.574,0.078,1.658,1.812,0.26,0.271,MODERATE,,,MODERATE,9.1,,MODERATE,,,41.737417,26.235344,52,297388.89,0.03,2,VERY_LARGE,21453,,,
T1,WINTER,2019,Δυτ. Μακεδονία (09),23/02/2019,7.26,449,225,0.22,8.46,14.3,110.3,0,0.016,1.274,0.154,1.444,1.665,0.043,0.079,GOOD,,,,,,,,,40.7517927,22.1694745,27,64205.8,0.02,4.2,RM3,3723.94,39.07,4.71,53.22
OINOUS,SPRING,2019,Ανατόλ. Πελοπόννησος (03),13/04/2019,13.53,449,224,0.22,8.47,9.64,114.4,0,0.001,0.082,0,0.086,0.134,0.001,0.003,HIGH,Evrotas,0.78,GOOD,18.4,1.128834356,HIGH,0.76,GOOD,37.10995128,22.4468245,233,30115.63,0.88,8.1,RM2,308.85,79,0.78,20.22
NISELI,SPRING,2021,Δυτ. Μακεδονία (09),15/05/2021,17.56,448,224,0.22,8.34,10.4,92.4,0.8,0.017,0.703,0.041,0.761,0.924,0.022,0.029,GOOD,,,POOR,14.2,,GOOD,,,40.584281,22.460926,8,107436.78,0.02,4.2,VERY_LARGE,11043.19,46.46,2.1,46.04
MORNOS_DW,SUMMER,2019,Δυτ. Στερεά Ελλάδα (04),22/07/2019,21.5,448,224,0.22,7.59,6.81,96.9,2.5,0.002,0.415,0.015,0.432,0.441,0.001,0.004,HIGH,Mornos,1.11,HIGH,15.4,0.944785276,GOOD,0.4,POOR,38.38779312,21.86056299,8,77793.92,0.33,8.7,RM2,971.78,79.23,1.02,9.71
P388,SPRING,2020,Θεσσαλία (08),21/05/2020,21.5,447,224,0.22,8.7,1.21,,,0.002,0.342,0.007,0.351,0.382,0.002,0.006,HIGH,,,,,,,,,39.639246,21.638741,156,54501.98,0.51,4.7,RM4,1066.55,58.27,0.97,36.21
SPILIA_(Alfeios),SUMMER,2019,Δυτ. Πελοπόννησος (01),21/07/2019,13.7,447,224,0.22,7.67,10.3,77.3,3.4,0.002,0.558,0.021,0.581,0.629,0.008,0.012,HIGH,Alfeios,1.11,HIGH,,,,0.9,HIGH,37.85286916,22.15710853,471,20975.66,0.32,5.1,RM4,215,,,
TRIKALITIKOS,WINTER,2019,Βόρ. Πελοπόννησος (02),18/02/2019,10.55,447,223,0.22,8.33,983,77.56,0,0.001,0.829,0.082,0.912,1.091,0.001,0.002,GOOD,,,,,,,,,38.0772332,22.62260097,5,33656.99,0.58,9.2,RM2,161.12,45.4,2.14,51.47
EPITALION,WINTER,2020,Δυτ. Πελοπόννησος (01),26/01/2020,12.05,447,223,0.22,8.17,11.2,70.2,0,0.006,1.064,0.01,1.08,1.236,0.001,0.004,GOOD,,,,,,,,,37.64135264,21.47642386,1,86533.29,0.21,9.5,RM3,3404,,,
PIROS,SPRING,2021,Βόρ. Πελοπόννησος (02),16/04/2021,14.62,447,223,0.22,8.08,382,102.6,0,0.005,1.055,0.1,1.16,1.416,0.054,0.068,GOOD,,0.4,POOR,17.4,,HIGH,0.8,GOOD,38.12798879,21.6243459,23,35072.18,0.23,8.8,RM5,345.79,49.41,4.87,45.34
P073,WINTER,2020,Θεσσαλία (08),20/02/2020,11.4,446,224,0.22,8.95,22.1,94.3,0.3,0.038,2.042,0.126,2.206,2.4,0.167,0.187,MODERATE,,,,,,,,,39.8069,22.399008,60,198452.09,0.41,5.2,VERY_LARGE,10331.85,29.22,2.4,65.32
P088,WINTER,2021,Θεσσαλία (08),28/02/2021,10.75,446,223,0.22,7.89,49.8,96.2,,0.017,1.143,0.064,1.224,1.284,0.073,0.083,GOOD,,,,,,,,,39.78782222,22.38941667,56,192489.74,0.06,5.1,RM3,8424.95,27.11,2.61,67.32
P073,WINTER,2021,Θεσσαλία (08),28/02/2021,10.84,446,223,0.22,7.85,60.5,92.3,,0.019,1.221,0.086,1.326,1.38,0.073,0.084,GOOD,,,,,,,,,39.8069,22.399008,60,198452.09,0.41,5.2,VERY_LARGE,10331.85,29.22,2.4,65.32
MORNOS_DW,SUMMER,2021,Δυτ. Στερεά Ελλάδα (04),3/7/2021,18.79,446,223,0.22,7.8,3.02,88.1,3.1,0.003,0.477,0.016,0.496,0.562,0.001,0.005,HIGH,,0.78,GOOD,16.7,1.024539877,HIGH,0.39,POOR,38.38779312,21.86056299,8,77793.92,0.33,8.7,RM2,971.78,79.23,1.02,9.71
P061,WINTER,2021,Θεσσαλία (08),28/02/2021,10.59,446,223,0.22,7.77,57.7,71.57,,0.021,1.239,0.068,1.328,1.38,0.081,0.09,GOOD,,,,,,,,,39.85137778,22.51186111,15,209133.44,0.17,5.2,VERY_LARGE,10389.21,29.59,2.38,64.95
FARAI,SUMMER,2020,Βόρ. Πελοπόννησος (02),8/7/2020,26,446,222,0.22,8.3,39.8,12.4,0,0.013,1.047,0.052,1.112,1.332,0.057,0.067,GOOD,Peirou-Verga-Pineiou,0.56,MODERATE,9.9,0.607361963,MODERATE,0.43,MODERATE,38.09518584,21.72800665,122,24045.51,0.9,8.2,RM2,138.11,64.04,0.57,35.4
PIN_IND,SUMMER,2020,Θεσσαλία (08),24/08/2020,27.3,445,232,0.22,8.4,20.1,123.4,25.8,0,0.022,0.014,0.036,0.236,0.025,0.034,HIGH,Pinios Thess.,0.33,POOR,6.9,,POOR,0.44,MODERATE,39.713457,22.43364,64,175390.98,0.02,5.1,RM3,8274.99,27.67,2.6,66.76
PIN_IND,WINTER,2020,Θεσσαλία (08),21/02/2020,10.96,445,222,0.22,8.84,19.5,103.6,2.8,0.054,1.956,0.376,2.386,2.772,0.241,0.262,POOR,,,,,,,,,39.713457,22.43364,64,175390.98,0.02,5.1,RM3,8274.99,27.67,2.6,66.76
P061,WINTER,2020,Θεσσαλία (08),21/02/2020,11.07,444,222,0.22,8.94,71.3,89.3,0,0.034,1.896,0.025,1.955,2.136,0.155,0.183,MODERATE,,,,,,,,,39.85137778,22.51186111,15,209133.44,0.17,5.2,VERY_LARGE,10389.21,29.59,2.38,64.95
ARAP_DW,WINTER,2019,Δυτ. Μακεδονία (09),22/02/2019,10.28,443,222,0.22,8.5,20.3,140.6,0,0.022,1.258,0.057,1.337,1.564,0.053,0.088,GOOD,,,,,,,,,40.659928,22.134234,55,31410.3,0.33,4.2,RM2,165.27,74.63,1.41,23.96
P088,WINTER,2020,Θεσσαλία (08),20/02/2020,11.12,442,221,0.22,8.67,77.3,90.9,5.6,0.041,1.939,0.121,2.101,2.28,0.182,0.203,MODERATE,,,,,,,,,39.78782222,22.38941667,56,192489.74,0.06,5.1,RM3,8424.95,27.11,2.61,67.32
SPARTI,WINTER,2021,Ανατόλ. Πελοπόννησος (03),25/01/2021,12.28,441,227,0.22,7.9,75.5,84.5,3.8,0.005,0.555,0.588,1.148,1.284,0.093,0.103,GOOD,,,,,,,,,37.077451,22.444878,179,59075.03,0.35,8.5,RM2,822.89,69.21,1.74,28.74
FARAI,SPRING,2020,Βόρ. Πελοπόννησος (02),14/05/2020,23.13,436,226,0.22,8.58,2.72,,,0.063,0.727,0.388,1.178,1.476,0.153,0.169,MODERATE,,,,,,,,,38.09518584,21.72800665,122,24045.51,0.9,8.2,RM2,138.11,64.04,0.57,35.4
POLYKASTRO,SUMMER,2019,Κεντρ. Μακεδονία (10),24/07/2019,24.8,450,225,0.216,8.51,20,106.73,3.4,0.011,2.199,0.012,2.222,2.388,0.158,0.167,MODERATE,Axios,,MODERATE,13.2,,GOOD,0.43,MODERATE,41.02184,22.55418,36,319942.74,0.04,3.9,VERY_LARGE,22994.78,59.63,1.74,38.62
KOSTARAZI,WINTER,2018,Δυτ. Μακεδονία (09),24/02/2018,10.1,508,325,0.21,,26.6,97.7,5.9,0.07,1.88,0.311,2.261,2.396,0.286,0.328,POOR,,,,,,,,,40.43514962,21.32095144,614,32020.76,0.22,2,RM2,308.63,31.53,3.95,63
KOSSYNTHOS_DW,SUMMER,2021,Θράκη (12),5/9/2021,24.01,492,242,0.21,7.66,28.8,88.36,6.2,0.014,0.345,0.019,0.378,0.541,0.013,0.028,GOOD,,0.78,GOOD,8,0.490797546,MODERATE,0.31,POOR,41.10225092,25.03169941,18,49255,0.13,4.6,RM2,396.63,,,
MUSELAS,SPRING,2018,Κρήτη (13),30/05/2018,18.3,456,296,0.21,9.2,2.6,84,4.2,0.001,1.249,0.012,1.262,1.429,0.02,0.028,HIGH,Remata Voreiou Tmimatos Chanion - Rethymnou,0.89,GOOD,,,,,,35.34360292,24.3189929,16,16672.59,0.59,11.5,RM1,47.49,25.1,0,74.9
VARDAROV,SUMMER,2021,Κεντρ. Μακεδονία (10),31/08/2021,24.31,453.33,227.33,0.21,7.35,5.54,62.43,7,0.018,0.552,0.08,0.65,0.948,0.713,0.77,MODERATE,,0.67,MODERATE,4,0.245398773,POOR,,,40.696548,22.676432,6,44306.85,0.12,4.2,RM2,306.12,3.56,0.51,94.16
KOSSYNTHOS_DW,SUMMER,2020,Θράκη (12),5/9/2020,22.74,449,224,0.21,7.35,18.2,34.7,1.4,0.007,0.139,0.02,0.166,0.296,0.027,0.031,GOOD,Rema Xanthis - Xirorema,0.67,MODERATE,9.3,0.570552147,MODERATE,0.23,POOR,41.10225092,25.03169941,18,49255,0.13,4.6,RM2,396.63,,,
LOUT_UP,SPRING,2021,Δυτ. Μακεδονία (09),19/05/2021,17.8,448,225,0.21,8.1,13.9,73.15,0.8,0.018,1.262,0.088,1.368,1.452,0.051,0.059,GOOD,,0.56,MODERATE,16.5,,GOOD,,,40.631329,22.217128,21,79278.45,0.02,4.2,RM3,4058.51,40.71,4.27,52.25
PETHELINO,SPRING,2019,Ανατόλ. Μακεδονία (11),21/05/2019,22.11,445,222.7,0.21,7.84,30.4,84.47,5.1,0.023,0.349,0.112,0.485,0.725,0.104,0.116,GOOD,Strymos,,MODERATE,9.6,,MODERATE,,,40.942397,23.693368,4,366915.16,0.01,4,VERY_LARGE,14016.31,47.15,2.19,45.86
VALTOTOPI,SPRING,2019,Ανατόλ. Μακεδονία (11),21/05/2019,20.19,443.3,221.7,0.21,7.73,25.5,70.47,5.3,0.023,0.293,0.159,0.475,0.833,0.162,0.173,MODERATE,Strymos,,BAD,9.5,,MODERATE,,,40.9928928,23.5981913,9,353797.25,0.02,3.8,VERY_LARGE,12570.3,42.55,2.8,48.38
DRAMA,WINTER,2021,Ανατόλ. Μακεδονία (11),2/2/2021,14.8,443,221,0.21,7.5,9.23,98.8,0.8,0.008,1.752,0.148,1.908,1.992,0.028,0.031,GOOD,,,,,,,,,41.14087,24.14227,90,25994.75,0.25,4.2,RM2,117.31,,,
P263,WINTER,2020,Θεσσαλία (08),19/02/2020,11.2,442,221,0.21,8.56,31.4,81.7,0.6,0.04,1.74,0.227,2.007,2.112,0.189,0.206,MODERATE,,,,,,,,,39.58204,22.11037,86,119537.43,0.02,5.5,RM4,6012.46,30.56,2.26,64.14
ARTA,SUMMER,2019,Ήπειρος (05),24/07/2019,20.13,442,221,0.21,8.55,2.45,,1.4,0.001,0.086,0.021,0.109,0.199,0,0.003,HIGH,Arachthos,0.78,GOOD,16.6,,GOOD,0.47,MODERATE,39.165325,20.99377222,23,114455.11,0.07,8.2,RM3,1817.59,69.45,1.47,21.16
ENIPEA,SUMMER,2020,Θεσσαλία (08),26/08/2020,27.9,441,221,0.21,8.4,21.1,144.7,8.1,0,0.019,0.009,0.029,0.171,0.099,0.128,HIGH,Pinios Thess.,0.56,MODERATE,9.3,,MODERATE,0.23,POOR,39.563521,22.087928,87,52130.03,0.07,5.2,RM3,2640.27,28.44,1.73,67.87
PORTAIK,WINTER,2021,Θεσσαλία (08),3/3/2021,9.66,441,220,0.21,7.88,24.1,96.3,0.8,0.014,1.546,0.034,1.594,1.848,0.09,0.109,GOOD,,,,,,,,,39.526511,21.7122,116,69883.33,0.09,4.7,RM4,304.92,37.92,3.35,52.46
